country,max magnitude 2010,max magnitude 2011,max magnitude 2012,max magnitude 2013,max magnitude 2014,max magnitude 2015,max magnitude 2016,max magnitude 2017,max magnitude 2018,max magnitude 2019,max magnitude 2020,max magnitude 2021,max magnitude 2022,max magnitude 2023,maximum magnitude
Japan,7.4,9.1,6.9,6.2,6.5,6.8,7.0,6.0,6.6,6.4,6.3,7.1,7.3,6.2,9.1
Chile,8.8,7.2,7.1,6.8,8.2,8.3,7.6,6.9,6.3,6.8,6.8,6.4,6.2,6.3,8.8
Argentina,8.8,7.2,7.1,6.8,6.4,8.3,7.6,6.9,6.2,6.7,6.8,6.4,5.7,6.3,8.8
United States of America,7.2,7.3,7.8,7.5,6.8,6.9,6.6,6.8,6.9,7.1,7.8,8.2,6.8,7.2,8.2
Peru,6.2,6.9,6.4,7.1,8.2,5.8,6.2,6.4,7.1,6.0,5.9,6.2,5.9,6.8,8.2
Bolivia,6.2,5.9,5.2,5.3,8.2,5.8,6.2,6.3,5.5,6.0,6.2,5.6,5.5,5.6,8.2
Guatemala,5.9,5.8,7.4,6.4,6.9,6.6,6.1,8.2,6.1,6.7,5.8,6.0,6.2,6.3,8.2
Mexico,7.2,6.5,7.4,6.6,7.2,6.7,6.6,8.2,7.2,6.7,7.4,7.0,7.6,6.4,8.2
New Zealand,7.0,7.6,5.9,6.5,6.9,6.1,7.8,6.0,6.0,7.3,6.0,8.1,6.6,7.1,8.1
S. Geo. and the Is.,6.3,6.5,6.0,5.9,6.9,6.2,7.2,6.5,6.4,6.6,6.1,8.1,6.3,5.7,8.1
Solomon Is.,7.2,6.8,6.4,8.0,7.6,7.1,7.8,6.5,6.5,6.6,6.3,6.4,7.0,6.2,8.0
Papua New Guinea,7.3,6.5,6.5,6.8,7.5,7.5,7.9,6.4,7.5,7.6,7.0,6.3,6.4,7.0,7.9
Colombia,5.4,5.7,6.3,6.7,5.7,5.9,7.8,5.5,6.0,6.0,5.7,5.5,6.0,6.5,7.8
China,6.9,6.9,6.8,6.6,6.9,7.8,6.6,6.5,5.8,6.2,6.3,7.3,6.6,6.9,7.8
Turkey,6.1,7.1,6.0,5.9,6.9,6.0,5.1,6.6,5.3,5.9,7.0,6.4,6.6,7.8,7.8
India,7.5,6.9,6.8,5.8,6.4,7.8,6.8,6.4,5.8,5.9,6.1,6.2,5.7,5.9,7.8
Indonesia,7.8,6.7,6.7,7.0,7.1,7.0,6.6,6.9,7.5,7.2,6.9,7.3,6.9,7.1,7.8
Ecuador,5.6,6.0,5.4,6.2,6.3,5.4,7.8,6.1,5.8,5.8,5.6,6.2,5.8,6.8,7.8
Pakistan,5.7,7.2,5.7,7.7,5.4,7.2,5.6,6.3,5.4,5.6,5.6,5.9,6.0,6.9,7.7
Afghanistan,5.7,7.2,5.8,7.7,5.4,7.2,6.6,6.1,5.7,5.6,5.6,5.9,6.0,6.9,7.7
Iran,6.7,7.2,6.4,7.7,6.2,5.4,5.4,7.3,6.3,5.9,6.0,6.4,6.0,6.3,7.7
New Caledonia,7.3,7.0,6.6,5.7,5.9,6.0,7.2,7.0,7.5,6.3,5.7,7.7,6.9,7.7,7.7
Russia,6.3,6.6,6.7,6.6,6.2,6.3,6.4,7.7,7.3,6.4,6.4,6.7,6.0,6.5,7.7
Costa Rica,6.0,5.9,7.6,6.5,6.6,5.8,5.7,6.5,6.1,6.2,6.0,6.7,6.7,6.3,7.6
Nicaragua,6.0,5.9,7.6,6.5,7.3,5.6,6.9,6.5,5.9,6.6,6.0,6.5,6.6,6.5,7.6
Philippines,6.5,6.4,6.7,7.1,6.3,6.2,6.3,6.9,7.0,6.8,6.6,7.1,7.0,7.6,7.6
Vanuatu,7.3,7.2,7.1,6.1,6.2,6.4,7.0,7.0,7.5,6.6,6.2,6.9,6.3,7.1,7.5
Honduras,5.9,5.8,7.3,6.5,7.3,5.7,6.9,6.8,7.5,6.6,6.1,6.5,6.6,6.5,7.5
El Salvador,5.9,5.8,7.4,6.5,7.3,5.7,6.9,6.8,6.1,6.6,5.8,6.5,6.6,6.5,7.4
Tonga,6.1,6.4,5.9,6.2,6.7,6.2,6.1,6.4,6.1,6.6,6.4,6.5,7.3,6.2,7.3
Tajikistan,5.7,6.1,5.7,5.7,5.4,7.2,6.6,6.0,5.7,5.6,5.5,5.9,5.3,6.9,7.2
Uzbekistan,5.6,6.1,5.7,5.7,5.4,7.2,6.6,6.0,5.7,5.0,5.5,5.7,5.3,5.8,7.2
Kyrgyzstan,5.5,6.1,5.7,6.1,5.4,7.2,6.6,6.0,5.7,5.3,6.0,5.9,5.1,6.9,7.2
Fiji,6.3,6.0,5.9,6.1,5.8,6.5,7.2,6.9,6.0,5.7,5.9,6.5,5.5,5.8,7.2
Azerbaijan,5.0,7.1,6.4,5.3,5.5,5.4,5.0,5.2,5.3,5.9,6.0,5.2,5.6,5.9,7.1
Greece,5.5,6.0,6.0,6.6,6.9,6.5,5.5,6.6,6.8,6.4,7.0,6.4,5.5,5.9,7.0
N. Mariana Is.,5.6,5.6,5.7,6.2,5.8,5.8,6.0,5.7,6.4,5.9,5.9,5.7,5.9,6.9,6.9
Bangladesh,5.2,6.9,5.7,5.4,5.6,5.1,6.8,5.7,5.3,5.0,5.9,6.2,5.4,5.5,6.9
Myanmar,6.6,6.9,6.8,5.8,6.1,5.2,6.8,5.7,6.0,6.2,5.9,6.2,5.9,5.7,6.9
Taiwan,6.3,5.4,5.9,6.2,5.8,6.4,6.4,5.4,6.4,6.1,6.1,6.2,6.9,5.9,6.9
Samoa,6.1,6.2,5.7,6.0,5.8,6.5,6.0,6.8,5.8,6.0,6.2,5.8,6.8,6.1,6.8
Panama,6.0,5.9,6.3,6.7,6.6,6.5,6.0,6.5,6.1,6.2,6.0,6.7,6.7,6.5,6.7
Timor-Leste,5.9,5.3,5.5,6.4,6.2,6.5,5.6,5.0,6.2,5.4,5.7,5.6,6.2,6.1,6.5
Oman,5.2,5.5,5.2,6.1,5.4,5.2,5.1,5.3,5.4,5.5,5.4,6.4,6.0,5.5,6.4
Micronesia,5.2,5.8,5.3,5.9,5.2,5.6,6.2,6.4,5.2,5.2,5.3,5.4,5.3,5.5,6.4
Kazakhstan,5.1,5.6,5.4,6.1,5.5,5.5,5.1,6.3,5.2,5.3,5.3,5.3,5.1,5.8,6.3
Guam,5.4,5.6,5.2,5.8,5.8,5.5,5.4,5.7,6.0,5.7,5.9,5.4,6.0,5.7,6.0
